Graham number Result,DCF Advance Model Result,DDM Advance Model Result,DCF Simple Model Result,DDM Simple Model Result,Ticker symbol,Name,Market Cap, Country,Sector,Industry
-4,N/A,N/A,3.61,N/A,AACG,ATA Creativity Global,34463036,China,Consumer Defensive,Education & Training Services
1,N/A,N/A,5.24,N/A,AACI,Armada Acquisition Corp. I,88316976,United States,Financial Services,Shell Companies
2,N/A,N/A,5.24,N/A,AACIU,Armada Acquisition Corp. I,None,United States,Financial Services,Shell Companies
N/A,N/A,N/A,5.24,N/A,AACIW,Armada Acquisition Corp. I Warrant,None,United States,Financial Services,Shell Companies
-1,N/A,N/A,N/A,N/A,AACT,Ares Acquisition Corporation II,656875008,United States,Financial Services,Shell Companies
N/A,N/A,N/A,0.02,N/A,AAGR,African Agriculture Holdings In,53816124,United States,Consumer Defensive,Farm Products
N/A,N/A,N/A,0.02,N/A,AAGRW,None,None,United States,Consumer Defensive,Farm Products
73,N/A,N/A,N/A,N/A,AAMC,Altisource Asset Management Cor,12576792,United States,Financial Services,Mortgage Finance
4,N/A,N/A,N/A,-57.27,AAME,Atlantic American Corporation,49577592,United States,Financial Services,Insurance - Life
19,N/A,N/A,0.76,N/A,AAT,American Assets Trust, Inc.,1637717504,United States,Real Estate,REIT - Diversified
30,N/A,N/A,0.59,N/A,AB,AllianceBernstein Holding L.P.,3718312192,United States,Financial Services,Asset Management
-15,N/A,N/A,2.64,N/A,ABAT,American Battery Technology Com,129762080,United States,Basic Materials,Other Industrial Metals & Mining
-5,N/A,N/A,2.71,N/A,ABEO,Abeona Therapeutics Inc.,119404832,United States,Healthcare,Biotechnology
-5,N/A,N/A,0.81,N/A,ABIO,ARCA biopharma, Inc.,23346772,United States,Healthcare,Biotechnology
-2,N/A,N/A,N/A,N/A,ABL,Abacus Life, Inc.,791872512,United States,Financial Services,Insurance - Life
N/A,N/A,N/A,N/A,N/A,ABLLL,Abacus Life, Inc. - 9.875% Fixe,None,None,None,None
N/A,N/A,N/A,N/A,N/A,ABLLW,None,None,None,None,None
3,N/A,N/A,0.58,N/A,ABLV,Able View Global Inc.,49490372,China,Communication Services,Advertising Agencies
