Graham number Result,DCF Advance Model Result,DDM Advance Model Result,DCF Simple Model Result,DDM Simple Model Result,Ticker symbol,Name,Market Cap, Country,Sector,Industry
43,0.7,0.28,0.69,1.88,A,Agilent Technologies, Inc.,38503657472,United States,Healthcare,Diagnostics & Research
-44,-11.1,-0.61,0.4,1.37,AA,Alcoa Corporation,5178364928,United States,Basic Materials,Aluminum
12,1590.98,0.08,0.14,3.96,AAN,Aarons Holdings Company, Inc.,303899584,United States,Industrials,Rental & Leasing Services
20,N/A,0.27,0.57,0.05,AAON,AAON, Inc.,5807385600,United States,Industrials,Building Products & Equipment
59,0.87,0.79,0.92,-0.21,AAP,Advance Auto Parts Inc.,4040781056,United States,Consumer Cyclical,Specialty Retail
19,0.8,0.28,0.76,2.5,AAT,American Assets Trust, Inc.,1700011520,United States,Real Estate,REIT - Diversified
24,7.29,0.29,0.36,11.54,ABBV,AbbVie Inc.,301624852480,United States,Healthcare,Drug Manufacturers - General
66,1.18,0.72,1.95,49.03,ABCB,Ameris Bancorp,3349257472,United States,Financial Services,Banks - Regional
5,0.91,8.72,0.88,-1.01,ABEV,Ambev S.A.,41195143168,Brazil,Consumer Defensive,Beverages - Brewers
49,15.38,0.79,0.4,0.73,ABM,ABM Industries Incorporated,2602135296,United States,Industrials,Specialty Business Services
